Soil_Type 	 b        Psi_ae  Theta_s
Sand              4.05    121    0.395
Loamy_sand        4.38    90     0.410
Sandy_loam        4.90    218    0.435
Silt_loam         5.30    786    0.485
Loam              5.39    478    0.451
Sandy_clay_loam   7.12    299    0.420
Silt_clay_loam    7.75    356    0.477
Clay_loam         8.52    630    0.476
Sandy_clay        10.40   153    0.426
Silty_clay        10.40   490    0.492
Clay              11.40   405    0.482
Hupsel            2.63    90     0.418
Cabauw            16.77   9      0.639
